Comment,Designator,Footprint,LCSC
SN74LV1T34DBV,"U2,U3,U5",SOT-23-5,C100024
LED-Green-PWR,D1,LED_0603_1608Metric,C12624
MBR120HW,D3,D_SOD-123F,C130880
SW_SPDT,SW1,SW-TH_SS-12F44-G5,C136718
100nF,"C14,C15",C_0603_1608Metric,C14663
100K,"R3,R4",R_0805_2012Metric,C149504
6.25pF,"C12,C13",C_0603_1608Metric,C1678
100,R8,R_0805_2012Metric,C17408
10K,R10,R_0805_2012Metric,C17414
1K,R7,R_0805_2012Metric,C17513
2.2K,R1,R_1206_3216Metric,C17948
Barrel_Jack,J1,BarrelJack_Horizontal,C194407
10uF,"C1,C10,C2,C3,C4,C8,C9",C_0603_1608Metric,C19702
SW_Push,SW2,SW_SPST_PTS810,C221895
STM32G0B1CEUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C2829190
AP2112K-3.3,U4,SOT-23-5,C51118
FTDI (Expected),"J5,J6",PinHeader_1x06_P2.54mm_Vertical,C5156615
STLINK-V3,J2,PinHeader_2x07_P2.54mm_Vertical,C5156678
32.768kHz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C5280579
REF2030,U6,SOT-23-5,C528704
boot0,"J10,J7,J8,J9",PinHeader_1x02_P2.54mm_Vertical,C5360898
USB_B,J4,USB_B_Lumberg_2411_02_Horizontal,C7419810
Debug Header,J3,PinHeader_2x25_P2.54mm_Vertical,C7430421
LED,D5,LED_0603_1608Metric,C965808
LTST-E133HEGBK,LED2-4,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-11,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-18,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-7,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-8,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-14,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-17,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-2,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-9,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-10,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-18,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-2,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-14,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-5,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-12,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-13,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-13,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-8,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-15,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-15,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-2,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-1,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-13,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-3,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-15,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-11,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-3,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-16,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-16,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-6,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-8,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-12,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-6,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-1,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-18,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-9,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-4,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-14,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-5,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-6,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-4,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-17,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-3,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-7,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-17,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-9,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-5,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-10,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-10,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-1,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-11,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-12,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-16,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-7,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-24,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-23,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-22,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-21,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-20,LTSTE133HEGBK,
LTST-E133HEGBK,LED3-19,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-24,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-23,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-22,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-21,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-20,LTSTE133HEGBK,
LTST-E133HEGBK,LED2-19,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-24,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-23,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-22,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-21,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-20,LTSTE133HEGBK,
LTST-E133HEGBK,LED1-19,LTSTE133HEGBK,
