Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,205.1,-93.49,90.0,top
C10,10uF,C_0603_1608Metric,180.2,-102.49,-90.0,top
C12,6.25pF,C_0603_1608Metric,172.7,-123.6,-90.0,top
C13,6.25pF,C_0603_1608Metric,172.7,-127.1,90.0,top
C14,100nF,C_0603_1608Metric,147.3,-146.39,180.0,top
C15,100nF,C_0603_1608Metric,181.5,-112.69,-90.0,top
C2,10uF,C_0603_1608Metric,205.1,-84.015,90.0,top
C3,10uF,C_0603_1608Metric,205.1,-87.19,-90.0,top
C4,10uF,C_0603_1608Metric,205.1,-90.39,90.0,top
C5,0.1uF,C_0603_1608Metric,158.8,-81.5,90.0,top
C6,0.1uF,C_0603_1608Metric,190.8,-80.4,90.0,top
C7,0.1uF,C_0603_1608Metric,221.0,-80.2,0.0,top
C8,10uF,C_0603_1608Metric,167.2,-100.49,0.0,top
C9,10uF,C_0603_1608Metric,175.2,-102.49,-90.0,top
D1,LED-Green-PWR,LED_0603_1608Metric,156.2,-112.49,90.0,top
D3,MBR120HW,D_SOD-123F,160.2,-103.49,180.0,top
D5,LED,LED_0603_1608Metric,168.8,-112.29,90.0,top
J1,Barrel_Jack,BarrelJack_Horizontal,148.425,-110.54,0.0,top
J10,boot0,PinHeader_1x02_P2.54mm_Vertical,153.75,-150.505001,180.0,top
J2,STLINK-V3,PinHeader_2x07_P2.54mm_Vertical,166.44,-150.42,90.0,top
J3,Debug Header,PinHeader_2x25_P2.54mm_Vertical,216.97,-118.07,0.0,top
J4,USB_B,USB_B_Lumberg_2411_02_Horizontal,149.8575,-125.99,180.0,top
J5,FTDI (Expected),PinHeader_1x06_P2.54mm_Vertical,187.42,-151.59,90.0,top
J6,FTDI (Reversed),PinHeader_1x06_P2.54mm_Vertical,205.55,-151.69,90.0,top
J7,LEDS_MOS1,PinHeader_1x02_P2.54mm_Vertical,227.0,-95.27,0.0,top
J8,LEDS_MOSI2,PinHeader_1x02_P2.54mm_Vertical,227.0,-110.27,0.0,top
J9,LEDS_MOSI3,PinHeader_1x02_P2.54mm_Vertical,227.25,-136.995,0.0,top
LED1-1,LTST-E133HEGBK,LTSTE133HEGBK,163.5,-73.89,-90.0,top
LED1-10,LTST-E133HEGBK,LTSTE133HEGBK,143.2,-68.5,90.0,top
LED1-11,LTST-E133HEGBK,LTSTE133HEGBK,143.2,-65.6,90.0,top
LED1-12,LTST-E133HEGBK,LTSTE133HEGBK,143.2,-62.7,90.0,top
LED1-13,LTST-E133HEGBK,LTSTE133HEGBK,144.5,-59.9,90.0,top
LED1-14,LTST-E133HEGBK,LTSTE133HEGBK,147.3,-58.3,90.0,top
LED1-15,LTST-E133HEGBK,LTSTE133HEGBK,150.0,-56.8,0.0,top
LED1-16,LTST-E133HEGBK,LTSTE133HEGBK,152.8,-55.4,0.0,top
LED1-17,LTST-E133HEGBK,LTSTE133HEGBK,155.7,-55.4,0.0,top
LED1-18,LTST-E133HEGBK,LTSTE133HEGBK,158.5,-56.8,0.0,top
LED1-19,LTST-E133HEGBK,LTSTE133HEGBK,161.175,-58.375,0.0,top
LED1-2,LTST-E133HEGBK,LTSTE133HEGBK,160.8,-75.8,-90.0,top
LED1-20,LTST-E133HEGBK,LTSTE133HEGBK,164.0,-60.0,0.0,top
LED1-21,LTST-E133HEGBK,LTSTE133HEGBK,165.8,-62.7,0.0,top
LED1-22,LTST-E133HEGBK,LTSTE133HEGBK,165.775,-65.575,0.0,top
LED1-23,LTST-E133HEGBK,LTSTE133HEGBK,165.775,-68.4,0.0,top
LED1-24,LTST-E133HEGBK,LTSTE133HEGBK,165.775,-71.2,0.0,top
LED1-3,LTST-E133HEGBK,LTSTE133HEGBK,158.1,-77.2,-90.0,top
LED1-4,LTST-E133HEGBK,LTSTE133HEGBK,155.4,-79.0,-90.0,top
LED1-5,LTST-E133HEGBK,LTSTE133HEGBK,152.7,-79.0,-90.0,top
LED1-6,LTST-E133HEGBK,LTSTE133HEGBK,149.9,-77.2,180.0,top
LED1-7,LTST-E133HEGBK,LTSTE133HEGBK,147.2,-75.9,180.0,top
LED1-8,LTST-E133HEGBK,LTSTE133HEGBK,144.5,-74.4,180.0,top
LED1-9,LTST-E133HEGBK,LTSTE133HEGBK,143.2,-71.5,180.0,top
LED2-1,LTST-E133HEGBK,LTSTE133HEGBK,193.8,-73.935001,-90.0,top
